RTC_Data	RTC_Czas	GPS_Lat	GPS_Lon	 gps_wysokosc	gps_speed	gps_course	gps_satelite	gps_hdop(dokładność)	 GPS_Data	GPS_Godzina	Accel_X	Accel_Y	Accel_Z	Gyro_X	Gyro_Y	Gyro_Z	Temp_MPU	Temp_BMP	Pressure	Wysokosc_wyliczona	Temp_AHT	Wilgotnosc	MQ2_Analog	MQ2_Digital
2025.3.17	14.29.28	0.000000	0.000000	0.00	0.00	0.00	0	0.00	0.0.0	0.0.0	-0.014	-0.043	-1.035	16.794	21.771	128.763	35.31	36.37	856.89	1050.65	35.97	13.70	118	Wysoki poziom gazu
2025.3.17	14.29.38	0.000000	0.000000	0.00	0.00	0.00	0	2550.00	9.28.34	0.0.0	-0.022	-0.128	-1.387	-29.282	2.992	-1.282	35.82	36.53	851.77	1099.92	35.91	13.71	2105	Wysoki poziom gazu
2025.3.17	14.29.48	0.000000	0.000000	0.00	0.00	0.00	0	2550.00	9.28.45	0.0.0	0.016	-0.086	-1.055	-12.733	-1.771	76.763	35.97	36.54	846.93	1146.88	35.87	13.75	2157	Wysoki poziom gazu
2025.3.17	14.29.58	50.331516	19.591776	1429.90	0.00	0.00	1110	80.00	9.28.55	0.0.0	0.011	-0.056	-0.965	6.962	8.122	97.099	36.06	36.54	842.14	1193.49	35.84	13.79	2023	Wysoki poziom gazu
2025.3.17	14.30.8	50.330765	19.594040	1457.90	0.00	0.00	1110	80.00	9.29.5	0.0.0	0.019	-0.059	-1.006	8.702	-12.824	7.023	36.11	36.54	838.04	1233.48	35.81	13.85	1945	Wysoki poziom gazu
2025.3.17	14.30.18	50.330143	19.596104	1488.60	0.00	0.00	1110	80.00	9.29.15	0.0.0	0.062	-0.047	-1.264	24.947	-15.481	41.954	36.15	36.55	832.73	1285.62	35.79	13.85	1899	Wysoki poziom gazu
2025.3.17	14.30.29	50.329571	19.598036	1528.70	0.00	0.00	1110	80.00	9.29.25	0.0.0	-0.011	-0.052	-1.052	-27.420	22.748	-69.924	36.15	36.56	827.76	1334.60	35.77	13.83	1867	Wysoki poziom gazu
2025.3.17	14.30.39	50.328762	19.599943	1583.10	0.00	0.00	1110	80.00	9.29.35	0.0.0	-0.009	-0.067	-1.003	6.168	10.595	39.328	36.20	36.56	823.90	1372.78	35.74	13.78	1836	Wysoki poziom gazu
2025.3.17	14.30.49	50.328762	19.599943	1583.10	0.00	0.00	1110	80.00	9.29.35	0.0.0	0.024	-0.090	-1.086	-13.954	2.565	-5.191	36.15	36.57	820.22	1409.38	35.73	13.84	1809	Wysoki poziom gazu
2025.3.17	14.30.59	50.327076	19.604404	1667.50	0.00	0.00	1110	80.00	9.29.56	0.0.0	0.036	-0.065	-1.015	9.588	-2.840	56.336	36.20	36.58	816.44	1447.09	35.71	13.75	1798	Wysoki poziom gazu
2025.3.17	14.31.9	50.326504	19.606340	1698.50	0.00	0.00	1110	80.00	9.30.6	0.0.0	-0.000	-0.050	-0.936	4.947	-8.763	-31.969	36.29	36.59	813.09	1480.68	35.72	13.84	1786	Wysoki poziom gazu
2025.3.17	14.31.19	50.325600	19.608610	1733.60	0.00	0.00	1110	80.00	9.30.16	0.0.0	0.021	-0.097	-1.104	-14.962	-5.832	-80.214	36.34	36.60	808.90	1522.72	35.71	13.95	1773	Wysoki poziom gazu
2025.3.17	14.31.29	50.324917	19.610691	1776.30	0.00	0.00	1110	80.00	9.30.26	0.0.0	-0.009	-0.041	-1.062	-1.099	11.053	113.374	36.34	36.62	804.44	1567.73	35.72	13.75	1758	Wysoki poziom gazu
2025.3.17	14.31.39	50.324314	19.612814	1824.00	0.00	0.00	1101	80.00	9.30.36	0.0.0	-0.003	-0.080	-1.059	-12.611	-0.794	-60.794	36.39	36.63	800.24	1610.35	35.71	13.97	1744	Wysoki poziom gazu
